Battery_Temp_C,CPU_Temp_C,Ambient_Temp_C,CPU_Usage_Pct,GPU_Usage_Pct,RAM_Usage_GB,Storage_IO_MBps,Battery_Level_Pct,Charging_Voltage_mV,Charging_Current_mA,Is_Charging,Data_Throughput_Mbps,GPS_Active,Screen_Brightness_Pct,Refresh_Rate_Hz,Touch_Events_Per_Sec,Screen_On_Time_Mins,Background_Apps_Count,Overheating_Status
37.55,42.71,32.5,9.87,24.23,4.73,0.45,62.93,4013.21,754.04,0,4.4,0,20,60,56.17,261.1,31,0
45.96,57.06,25.44,59.26,79.79,9.08,19.35,34.68,3552.6,1257.91,1,4.72,0,39,90,29.63,330.88,10,0
42.3,47.78,20.23,27.13,14.53,5.33,21.64,34.16,3578.06,3602.9,1,30.45,0,1,60,57.19,312.93,31,0
25.79,46.34,20.99,15.9,76.41,10.36,41.29,62.34,4269.43,2575.29,0,19.23,0,30,90,30.88,133.3,23,0
37.65,41.94,36.59,11.68,32.4,9.65,29.95,26.12,3884.88,3923.36,0,3.76,1,24,90,16.87,382.93,38,0
40.69,49.23,42.58,14.06,26.19,9.74,12.22,57.24,3997.1,3065.82,1,45.55,0,27,90,9.87,295.22,12,0
32.37,56.75,44.15,11.27,85.64,10.88,0.05,54.2,3916.07,3764.61,0,3.57,0,52,90,49.93,155.26,13,0
27.79,45.62,27.7,12.53,41.5,3.14,108.42,55.64,3911.89,1239.05,0,19.07,1,37,90,51.76,14.34,31,0
37.8,57.53,28.65,38.1,34.76,1.05,14.46,52.41,4115.33,795.81,0,13.07,0,12,120,49.84,410.67,26,0
29.78,43.13,39.48,94.96,26.39,8.37,14.0,4.45,3566.95,3523.14,1,4.65,0,42,120,8.66,30.6,24,0
31.87,29.18,43.04,28.33,41.69,1.84,16.44,28.52,4395.96,4233.64,1,74.12,0,72,60,36.5,42.3,27,0
42.72,24.97,28.79,21.87,6.59,4.36,2.92,61.5,4161.56,2097.98,1,3.41,0,48,60,13.91,232.3,21,0
36.8,36.95,28.32,40.19,62.59,5.54,0.8,18.64,3598.89,3050.04,1,13.51,0,1,60,51.81,192.91,17,0
31.59,46.06,22.61,64.5,64.04,4.65,6.72,17.78,3532.71,4943.87,0,39.87,0,22,90,5.07,115.83,43,0
